title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
2 Bedroom Flat,5000000,rent,Wuse-2,Wuse,Wuse2 Wuse 2 Abuja,2,2,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PLAL,15-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-wuse2-wuse-2-abuja-9PLAL
1 Bedroom Flat,4000000,rent,Wuse-2,Wuse,Wuse2 Wuse 2 Abuja,1,1,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PMAV,24-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-wuse2-wuse-2-abuja-1PMAV
5 Bedroom Terraced Duplex,25000000,rent,Wuse-2,Wuse,Wuse 2 Abuja,5,5,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PHHE,20-Mar-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-rent-wuse-2-abuja-9PHHE
Furnished 2 Bedroom Apartment || Wuse 2,13000000,rent,Wuse-2,Wuse,Wuse 2 Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PLDU,16-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-wuse-2-abuja-5PLDU
4 Bedroom Detached Duplex With Swimming Pool/gym,25000000,rent,Wuse-2,Wuse,"Wuse 2 District Abuja Diplomatic Zone, Wuse 2 Abuja",4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1NZEP,09-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-wuse-2-district-abuja-diplomatic-zone-wuse-2-abuja-1NZEP
Newly Built 6 Rooms Duplex With Bq ( Self Compound),30000000,rent,Gwarinpa,Gwarinpa,"6th Avenue, Gwarinpa, Abuja Gwarinpa Abuja",6,6,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PMHV,27-Apr-26,27-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-rent-6th-avenue-gwarinpa-abuja-gwarinpa-abuja-5PMHV
Nice 2bedroom Flat,4000000,rent,Gwarinpa,Gwarinpa,"Gwarinpa Main, Gwarinpa, Abuja Gwarinpa Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PMET,25-Apr-26,25-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-gwarinpa-main-gwarinpa-abuja-gwarinpa-abuja-6PMET
4 Bedroom Terrace Duplex With Bq,12000000,rent,Gwarinpa,Gwarinpa,Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PCGX,06-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-gwarinpa-abuja-5PCGX
Spacious 3 Bedroom Flat,7000000,rent,Gwarinpa,Gwarinpa,6th Avenue Gwarinpa Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PLSA,21-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-6th-avenue-gwarinpa-abuja-9PLSA
A Good 5 Bedroom Semi Detached Duplex + 2bqs,15000000,rent,Gwarinpa,Gwarinpa,Off 7th Avenue. Video Is Available. Gwarinpa Abuja,5,5,6,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PKHQ,09-Apr-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-rent-off-7th-avenue-video-is-available-gwarinpa-abuja-0PKHQ
Newly Built 4bedroom Detached Duplex,6000000,rent,Gwarinpa,Gwarinpa,"In An Estate Gwarinpa Extension, Abuja Gwarinpa Abuja",4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PLEL,16-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-in-an-estate-gwarinpa-extension-abuja-gwarinpa-abuja-8PLEL
Well Finished 3 Bedroom Apartment,5000000,rent,Gwarinpa,Gwarinpa,Gwarinpa Main Gwarinpa Abuja,3,4,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PGWD,16-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-gwarinpa-main-gwarinpa-abuja-3PGWD
Newly Built 2 Bedroom Flat (bq),3500000,rent,Gwarinpa,Gwarinpa,Mab Global Estate Gwarinpa Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PGZR,17-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-mab-global-estate-gwarinpa-abuja-0PGZR
3 Bedroom Terrace Duplex,7000000,rent,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,3,4,4,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PGQB,13-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-main-gwarinpa-abuja-0PGQB
3 Bedroom Apartment,10000000,rent,Gwarinpa,Gwarinpa,"Gwarinpa Main, Abuja Gwarinpa Abuja",3,4,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PHSG,24-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-gwarinpa-main-abuja-gwarinpa-abuja-1PHSG
1 Bedroom Flat,2500000,rent,Gwarinpa,Gwarinpa,Gwarinpa Gwarinpa Abuja,1,1,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PKSH,12-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gwarinpa-gwarinpa-abuja-5PKSH
1 Bedroom Flat,3000000,rent,Gwarinpa,Gwarinpa,Gwarinpa Gwarinpa Abuja,1,1,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PLUZ,22-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gwarinpa-gwarinpa-abuja-3PLUZ
Beautiful 1 Bedroom Flat,2500000,rent,Gwarinpa,Gwarinpa,Gwarinpa Gwarinpa Abuja,1,1,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PLQF,20-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gwarinpa-gwarinpa-abuja-1PLQF
Newly Built 2 Bedroom Flat With A Pool,6000000,rent,Lugbe,Lugbe,By Von Lugbe Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PFHA,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-by-von-lugbe-abuja-0PFHA
2 Bedroom Semi Detached Duplex,6000000,rent,Lugbe,Lugbe,Lugbe Abuja,2,2,2,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PFKQ,04-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-lugbe-abuja-7PFKQ
4 Bedroom Duplex To Let In River Park,8000000,rent,Lugbe,Lugbe,River Park Estate Lugbe Abuja,4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PHFQ,19-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-river-park-estate-lugbe-abuja-0PHFQ
Newly Built 2 Bedroom Block Of Flats,3000000,rent,Lugbe,Lugbe,Along Von Garden Estate Road Lugbe Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PJBJ,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-along-von-garden-estate-road-lugbe-abuja-2PJBJ
2 Bedroom Block Of Flats,3000000,rent,Lugbe,Lugbe,Airport Road Lugbe Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PJEQ,29-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-airport-road-lugbe-abuja-1PJEQ
Standard 3 Bedroom Block Of Flats,5000000,rent,Lugbe,Lugbe,River Park Estate Lugbe Abuja,3,4,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PKYW,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-river-park-estate-lugbe-abuja-9PKYW
Spacious 3 Bedroom Bungalow With A Bq,6000000,rent,Lugbe,Lugbe,Von Garden Estate Lugbe Abuja,3,4,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PJJT,31-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-von-garden-estate-lugbe-abuja-6PJJT
Newly Built 1 Bedroom Apartment,1800000,rent,Lugbe,Lugbe,"Pyakasa, Lugbe Abuja",1,1,1,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PHKB,21-Mar-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-house-for-rent-pyakasa-lugbe-abuja-8PHKB
Newly Built And Very Standard 1 Bedroom,1800000,rent,Lugbe,Lugbe,Pyakasa Lugbe Lugbe Abuja,1,2,2,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PKXX,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-house-for-rent-pyakasa-lugbe-lugbe-abuja-1PKXX
Newly Built 4 Bedroom Terrace Duplex,7000000,rent,Lugbe,Lugbe,Seaman Estate Lugbe Abuja,4,5,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PKGS,08-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-seaman-estate-lugbe-abuja-9PKGS
3 Bedroom Bungalow With Bq,4000000,rent,Lugbe,Lugbe,Seaman Estate Lugbe Abuja,3,4,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PHSZ,24-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-seaman-estate-lugbe-abuja-2PHSZ
Sharp 2 Bedroom Bungalow,4500000,rent,Lugbe,Lugbe,Along Von Garden Estate Road Lugbe Abuja,2,3,3,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PJRT,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-along-von-garden-estate-road-lugbe-abuja-7PJRT
Standard 2 Bedroom Block Of Flats,2800000,rent,Lugbe,Lugbe,"Fha, Lugbe Abuja",2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PKDG,07-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-fha-lugbe-abuja-6PKDG
Newly Built And Very Sharp 1 Bedroom Apartment,1800000,rent,Lugbe,Lugbe,Pyakasa Lugbe Lugbe Abuja,1,2,2,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PHFY,20-Mar-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-house-for-rent-pyakasa-lugbe-lugbe-abuja-1PHFY
Sharp 3 Bedroom Bungalow,4000000,rent,Lugbe,Lugbe,Von Garden Estate Lugbe Abuja,3,4,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PJJT,31-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-von-garden-estate-lugbe-abuja-4PJJT
Newly Built 2 Bedroom Block Of Flats,2500000,rent,Lugbe,Lugbe,Pyakasa Lugbe Lugbe Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PKZN,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-pyakasa-lugbe-lugbe-abuja-9PKZN
Sharp 3 Bedroom Bungalow,4700000,rent,Lugbe,Lugbe,Kapua Lugbe Abuja,3,3,,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PKHK,08-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-kapua-lugbe-abuja-6PKHK
Newly Built 4 Bedroom Fully Detached Duplex,6000000,rent,Lugbe,Lugbe,"Along Von Garden Estate Road, Lugbe Abuja",4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PKDJ,07-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-along-von-garden-estate-road-lugbe-abuja-5PKDJ
Standard 3 Bedroom Semi Detached Duplex,7500000,rent,Lugbe,Lugbe,River Park Estate Lugbe Abuja,3,4,4,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PKYY,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-river-park-estate-lugbe-abuja-2PKYY
Sharp 2 Bedroom Semi Detached Bungalow,2500000,rent,Lugbe,Lugbe,Lugbe Airport Road Lugbe Abuja,2,3,3,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PJRP,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-lugbe-airport-road-lugbe-abuja-1PJRP
Serviced 3 Bedroom Terrace Duplex With Bq,13000000,rent,Jabi,Jabi,Jabi Abuja,3,3,4,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PHZZ,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-jabi-abuja-0PHZZ
Newly Built 2 Bedroom Flat,6500000,rent,Jabi,Jabi,By Airport Jabi Abuja,2,3,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PESD,26-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-by-airport-jabi-abuja-7PESD
3 Bedrooms Terrace Duplex With Bq,15000000,rent,Jabi,Jabi,Jabi Jabi Abuja,3,4,4,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PLEY,16-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-jabi-jabi-abuja-5PLEY
Spacious 3 Bedroom Flat,7000000,rent,Jabi,Jabi,Jabi Jabi Abuja,3,3,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PKXE,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-jabi-jabi-abuja-4PKXE
Brand New 4 Bedroom Detached Duplex With 1 Bq,35000000,rent,Jabi,Jabi,"Jabi District Abuja Diplomatic Zone, Jabi Abuja",4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7NZEP,09-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-jabi-district-abuja-diplomatic-zone-jabi-abuja-7NZEP
Newly Built 2 Bedroom Flat,9000000,rent,Jabi,Jabi,"Jabi , Abuja Jabi Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PJSD,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-jabi-abuja-jabi-abuja-3PJSD
4 Bedroom Duplex,4000000,rent,Jabi,Jabi,"Jabi , Abuja Jabi Abuja",4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PKNC,10-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-jabi-abuja-jabi-abuja-8PKNC
5 Bedroom Semi Detached Duplex,20000000,rent,Jabi,Jabi,"Jabi Main, Jabi Abuja",5,5,5,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PDXS,19-Feb-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-rent-jabi-main-jabi-abuja-3PDXS
4 Bedroom Semi Detached Duplex,15000000,rent,Jabi,Jabi,"Jabi Main, Jabi Abuja",4,4,5,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PFHN,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-jabi-main-jabi-abuja-6PFHN
Newly Built 2 Bedroom Flat,4000000,rent,Jabi,Jabi,"Jabi Before Citec, Jabi Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PERK,25-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-jabi-before-citec-jabi-abuja-0PERK
Newly Built 2 Bedroom Flat,4000000,rent,Jabi,Jabi,"Before Citec, Jabi Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PESF,26-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-before-citec-jabi-abuja-4PESF
Furnished 4 Bedroom Semi Detached Duplex,25000000,rent,Jabi,Jabi,Jabi Abuja,4,4,5,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PEZU,28-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-jabi-abuja-8PEZU
Big Self Contain ( 2years Rent Required),2500000,rent,Katampe,Katampe,"Katampe Extension, Abuja Katampe Abuja",1,1,1,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PMFU,25-Apr-26,25-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-katampe-extension-abuja-katampe-abuja-7PMFU
4 Bedroom Terraced Duplex With 2 Bq,20000000,rent,Katampe,Katampe,"Katampe Extention Diplomatic Zone, Katampe Extension Katampe Abuja",4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PGSJ,15-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-katampe-extention-diplomatic-zone-katampe-extension-katampe-abuja-0PGSJ
