title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
6 Units Of 3 Bedroom Flat,1300000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,3,,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PAYN,23-Jan-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-wuse-2-abuja-6PAYN
4 Bedroom Semi Detached Duplex With Bq,850000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,4,4,,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PBDJ,26-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-wuse-2-abuja-7PBDJ
7 Bedroom Detached Duplex With 2 Bq,2500000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,7,7,,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PGGN,11-Mar-26,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-wuse-2-abuja-2PGGN
3 Bedroom Block Of Flat,300000000,sale,Wuse-2,Wuse,Wuse 2 Abuja,3,3,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PGGP,11-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-wuse-2-abuja-9PGGP
Newly Built 4 Bedroom Terrace Duplex With Bq,150000000,sale,Gwarinpa,Gwarinpa,Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PDPE,17-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarinpa-abuja-0PDPE
2 Bedroom Flat,350000000,sale,Gwarinpa,Gwarinpa,Gwarinpa Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PBRE,30-Jan-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-sale-gwarinpa-abuja-2PBRE
Distress Sale Of 8 Units Of 2 Bedroom Apartment,650000000,sale,Gwarinpa,Gwarinpa,Gwarinpa Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NXMH,15-Dec-25,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-sale-gwarinpa-abuja-5NXMH
4 Bedroom Detached Duplex,365000000,sale,Gwarinpa,Gwarinpa,Gwarimpa In A Serene And Secured Estate Gwarinpa Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PFFK,02-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarimpa-in-a-serene-and-secured-estate-gwarinpa-abuja-2PFFK
4 Bedroom Terrace With Bq,210000000,sale,Gwarinpa,Gwarinpa,Gwarimpa Gwarinpa Abuja,4,4,5,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PDQX,18-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarimpa-gwarinpa-abuja-9PDQX
Newly Built 3 Bedroom Duplex,150000000,sale,Gwarinpa,Gwarinpa,News Engineering Dawaki Gwarinpa Abuja,3,3,4,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PGNH,13-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-news-engineering-dawaki-gwarinpa-abuja-1PGNH
