title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
7 Bedroom Detached Duplex With Penthouse,600000000,Sale,Gwarinpa,Gwarinpa,In An Estate At Gwarinpa Extension Gwarinpa Abuja,7,7,8,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1NLUX,2025-08-31,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-in-an-estate-at-gwarinpa-extension-gwarinpa-abuja-1NLUX,600.0,"₦600,000,000"
Newly Built 3 Bedroom Bungalow,155000000,Sale,Gwarinpa,Gwarinpa,Efab Verizon Estate Gwarinpa Abuja,3,3,4,Bungalow,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9NPXY,2025-09-30,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-efab-verizon-estate-gwarinpa-abuja-9NPXY,155.0,"₦155,000,000"
3 Bedroom Semi Detached Duplex With Bq,270000000,Sale,Gwarinpa,Gwarinpa,News Engineering Dawaki Gwarinpa Abuja,3,3,4,Semi-Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",3NDSC,2025-06-29,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-news-engineering-dawaki-gwarinpa-abuja-3NDSC,270.0,"₦270,000,000"
3 Bedroom Apartment,102199875,Sale,Lugbe,Lugbe,"Airport Road, Lugbe Abuja",3,3,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PFKA,2026-03-03,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-airport-road-lugbe-abuja-2PFKA,102.199875,"₦102,199,875"
4 Bedroom Bungalow,170000000,Sale,Lugbe,Lugbe,Fort Royal Estate Lugbe Abuja,4,4,5,Bungalow,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4PJBD,2026-03-27,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-fort-royal-estate-lugbe-abuja-4PJBD,170.0,"₦170,000,000"
2 Bedroom Apartment,36508320,Sale,Lugbe,Lugbe,"Airport Road Before Centenary City, Lugbe Abuja",2,2,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6PFKE,2026-03-03,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-sale-airport-road-before-centenary-city-lugbe-abuja-6PFKE,36.50832,"₦36,508,320"
1 Bedroom Apartment,52080376,Sale,Lugbe,Lugbe,"Airport Road Before Centenary City, Lugbe Abuja",1,1,2,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",0PFKF,2026-03-03,2026-04-24,https://www.propertypro.ng/property/1-bedroom-house-for-sale-airport-road-before-centenary-city-lugbe-abuja-0PFKF,52.080376,"₦52,080,376"
4 Bedroom Fully Detached Duplex || Distress Sale,130000000,Sale,Lugbe,Lugbe,Back Of Glory Dome Lugbe Abuja,4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PLKK,2026-04-18,2026-04-27,https://www.propertypro.ng/property/4-bedroom-house-for-sale-back-of-glory-dome-lugbe-abuja-2PLKK,130.0,"₦130,000,000"
Newly Built & Distress 4 Bedroom Duplex,55000000,Sale,Lugbe,Lugbe,"Opposite River Park Estate, By Nut Hq Airport Road Abuja Sabon Lugbe Lugbe Abuja",4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7PMHP,2026-04-27,2026-04-27,https://www.propertypro.ng/property/4-bedroom-house-for-sale-opposite-river-park-estate-by-nut-hq-airport-road-abuja-sabon-lugbe-lugbe-abuja-7PMHP,55.0,"₦55,000,000"
Newly Built 3 Bedroom With A Bq,200000000,Sale,Lugbe,Lugbe,Cluster 3 River Park Estate Lugbe Abuja,3,3,4,House,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",0PMHB,2026-04-26,2026-04-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-cluster-3-river-park-estate-lugbe-abuja-0PMHB,200.0,"₦200,000,000"
